open_time,open,high,low,close,volume,close_time,quote_asset_volume,num_trades,taker_buy_base_vol,taker_buy_quote_vol,ignore
2022-04-11 00:00:00,42158.85000000,42414.71000000,39200.00000000,39678.12000000,259281.04870000,2022-04-17 23:59:59,10492029074.43206470,5921631,126175.26392000,5107109884.34612770,0
2022-04-18 00:00:00,39678.11000000,42976.00000000,38536.51000000,39450.13000000,283885.03637000,2022-04-24 23:59:59,11530224571.57788770,7307352,140430.82007000,5705214688.75134950,0
2022-04-25 00:00:00,39450.12000000,40797.31000000,37386.38000000,38468.35000000,368444.26814000,2022-05-01 23:59:59,14366905362.21120210,8168960,182205.04628000,7107113319.03925670,0
2022-05-02 00:00:00,38468.35000000,40023.77000000,33713.95000000,34038.40000000,419979.58290000,2022-05-08 23:59:59,15553421461.79525020,8540020,204305.32052000,7582347504.98353310,0
2022-05-09 00:00:00,34038.39000000,34243.15000000,26700.00000000,31328.89000000,964223.84927400,2022-05-15 23:59:59,29301810530.84179151,16818661,460216.81539700,13971509225.08758165,0
2022-05-16 00:00:00,31328.89000000,31328.90000000,28654.47000000,30293.94000000,375096.22376000,2022-05-22 23:59:59,11177195347.94081740,9177698,189713.27257000,5654555850.58958670,0
2022-05-23 00:00:00,30293.93000000,30670.51000000,28019.56000000,29468.10000000,430508.71991000,2022-05-29 23:59:59,12611294754.57210520,7332430,208897.25934000,6121946892.63676620,0
2022-05-30 00:00:00,29468.10000000,32399.00000000,29282.36000000,29919.21000000,422401.40352000,2022-06-05 23:59:59,12912323442.26139610,7249030,202549.77860000,6188339634.43644380,0
2022-06-06 00:00:00,29919.20000000,31765.64000000,26560.00000000,26574.53000000,528925.48795900,2022-06-12 23:59:59,15683647970.68714704,8740633,255697.09976000,7589290330.07902220,0
2022-06-13 00:00:00,26574.53000000,26895.84000000,17622.00000000,20574.00000000,1153717.63753700,2022-06-19 23:59:59,24718445373.53246736,16153967,566051.07484300,12119463385.11774105,0
2022-06-20 00:00:00,20574.00000000,21888.00000000,19637.03000000,21038.07000000,570801.23178000,2022-06-26 23:59:59,11870152671.08868070,8827163,283739.01692000,5901368295.14180280,0
2022-06-27 00:00:00,21038.08000000,21539.85000000,18626.00000000,19315.83000000,508544.13970000,2022-07-03 23:59:59,10107464161.05023200,8098167,251218.84067000,4992634202.08066110,0
2022-07-04 00:00:00,19315.83000000,22527.37000000,19055.31000000,20862.47000000,1111996.98071000,2022-07-10 23:59:59,23540958829.80106150,17338062,557807.34407000,11808175072.93664270,0
2022-07-11 00:00:00,20861.11000000,21684.54000000,18910.94000000,20798.16000000,1043685.76303000,2022-07-17 23:59:59,21225657682.25720400,28620637,518342.14454000,10546004665.11854430,0
2022-07-18 00:00:00,20799.58000000,24276.74000000,20762.45000000,22579.68000000,1336219.23609000,2022-07-24 23:59:59,30419505018.44636220,36404041,672735.92695000,15314324288.04023240,0
2022-07-25 00:00:00,22577.13000000,24668.00000000,20706.50000000,23293.32000000,1282264.24492000,2022-07-31 23:59:59,29215844069.13143200,36815045,639746.88279000,14583255496.02514400,0
2022-08-01 00:00:00,23296.36000000,23647.68000000,22400.00000000,23174.39000000,951140.43388000,2022-08-07 23:59:59,21943150279.73161500,32042944,472484.29234000,10902339486.38157070,0
2022-08-08 00:00:00,23174.39000000,25047.56000000,22664.69000000,24305.24000000,1251083.26468000,2022-08-14 23:59:59,30077619286.84656770,43311786,625522.69768000,15039436995.29061950,0
2022-08-15 00:00:00,24305.25000000,25211.32000000,20761.90000000,21515.61000000,1402957.39876000,2022-08-21 23:59:59,32016009263.43493180,46017032,698823.59671000,15948153490.60180970,0
2022-08-22 00:00:00,21516.70000000,21900.00000000,19520.00000000,19555.61000000,1343190.86000000,2022-08-28 23:59:59,28273617081.52032370,41486274,669270.17315000,14089524497.01568180,0
2022-08-29 00:00:00,19555.61000000,20576.25000000,19540.00000000,20000.30000000,1527594.84529000,2022-09-04 23:59:59,30597230623.48951400,38080138,762324.89492000,15270693969.60497590,0
2022-09-05 00:00:00,20000.30000000,21860.00000000,18510.77000000,21826.87000000,2146685.76233000,2022-09-11 23:59:59,43460053550.45976670,41587411,1074020.48582000,21751877355.13041250,0
2022-09-12 00:00:00,21826.87000000,22799.00000000,19320.01000000,19416.18000000,2218565.59694000,2022-09-18 23:59:59,45784151832.43753880,41728131,1107144.73306000,22859382949.06557150,0
2022-09-19 00:00:00,19417.45000000,19956.00000000,18125.98000000,18807.38000000,2285541.48793000,2022-09-25 23:59:59,43488049829.07041010,39408640,1141577.20385000,21724013825.41485850,0
2022-09-26 00:00:00,18809.13000000,20385.86000000,18471.28000000,19056.80000000,2777070.91238000,2022-10-02 23:59:59,53761170640.89073340,39023576,1387219.15628000,26857951663.90879500,0
2022-10-03 00:00:00,19057.74000000,20475.00000000,18959.68000000,19439.02000000,1690215.44019000,2022-10-09 23:59:59,33498469288.87016030,28764711,847579.42346000,16800184632.09654350,0
2022-10-10 00:00:00,19439.96000000,19951.87000000,18190.00000000,19262.98000000,1666942.47921000,2022-10-16 23:59:59,31973285240.12004080,34431421,830990.14609000,15940838410.74413960,0
2022-10-17 00:00:00,19262.98000000,19706.66000000,18650.00000000,19570.40000000,1439566.24878000,2022-10-23 23:59:59,27726087449.71050710,33194461,716529.43810000,13802093103.37976210,0
2022-10-24 00:00:00,19570.40000000,21085.00000000,19157.00000000,20627.48000000,2026392.42105000,2022-10-30 23:59:59,41163103270.30045070,46965717,1011279.69462000,20544581597.54060450,0
2022-10-31 00:00:00,20627.48000000,21480.65000000,20031.24000000,20905.58000000,2205754.83045000,2022-11-06 23:59:59,45589276905.34283550,47012044,1100693.97044000,22750577655.36152610,0
2022-11-07 00:00:00,20905.58000000,21069.77000000,15588.00000000,16329.85000000,3234391.87393200,2022-11-13 23:59:59,58481935198.61974971,69529948,1600577.59884100,28942358620.93245546,0
2022-11-14 00:00:00,16331.78000000,17190.00000000,15815.21000000,16280.23000000,1626234.48043000,2022-11-20 23:59:59,27077469872.70157980,40879146,808233.04529000,13458274078.67834290,0
2022-11-21 00:00:00,16279.50000000,16812.63000000,15476.00000000,16428.78000000,1561058.47958300,2022-11-27 23:59:59,25506770070.36038697,36585251,775318.46032000,12669512752.45342930,0
2022-11-28 00:00:00,16428.77000000,17324.00000000,15995.27000000,17105.70000000,1572173.55626000,2022-12-04 23:59:59,26360161543.30846560,33957294,782395.46704000,13118194969.46495030,0
2022-12-05 00:00:00,17106.65000000,17424.25000000,16678.83000000,17085.05000000,1443791.97519000,2022-12-11 23:59:59,24639487914.90870170,28935324,715127.17858000,12204776366.35207710,0
2022-12-12 00:00:00,17085.05000000,18387.95000000,16527.32000000,16738.21000000,1511897.62621000,2022-12-18 23:59:59,26143428661.14802860,34216989,750915.17070000,12986868567.49425230,0
2022-12-19 00:00:00,16739.00000000,17061.27000000,16256.30000000,16832.11000000,1148035.81471000,2022-12-25 23:59:59,19261867584.50809950,30890062,569762.83271000,9559861835.22137320,0
2022-12-26 00:00:00,16832.11000000,16972.83000000,16333.00000000,16616.75000000,1028681.78419000,2023-01-01 23:59:59,17128649384.37835310,29855688,512673.90334000,8536394019.89505280,0
2023-01-02 00:00:00,16617.17000000,17176.99000000,16548.70000000,17127.83000000,1112349.61417000,2023-01-08 23:59:59,18710795015.11228670,32938345,553373.37180000,9308405394.44382130,0
2023-01-09 00:00:00,17127.83000000,21258.00000000,17104.66000000,20871.50000000,2145455.73458000,2023-01-15 23:59:59,40310160794.01672060,48190928,1067943.16719000,20072164599.67841280,0
2023-01-16 00:00:00,20872.99000000,23371.80000000,20407.15000000,22707.88000000,2108890.06922000,2023-01-22 23:59:59,45622643727.57732390,48516459,1049279.10042000,22702857708.43608820,0
2023-01-23 00:00:00,22706.02000000,23960.54000000,22300.00000000,23742.30000000,1946352.79600000,2023-01-29 23:59:59,44778423206.51019510,48187520,968996.15562000,22295929039.03277850,0
2023-01-30 00:00:00,23743.37000000,24255.00000000,22500.00000000,22932.91000000,1949971.72168000,2023-02-05 23:59:59,45526556536.27251440,50318314,971938.93282000,22694080189.36467570,0
2023-02-06 00:00:00,22932.91000000,23452.00000000,21451.00000000,21783.54000000,1976378.51282000,2023-02-12 23:59:59,44353818613.73314100,48694515,981453.16349000,22028536552.65247230,0
2023-02-13 00:00:00,21782.37000000,25250.00000000,21351.07000000,24271.76000000,2497565.47508000,2023-02-19 23:59:59,58739519125.70169970,58393471,1250658.34810000,29415420384.67632980,0
2023-02-20 00:00:00,24272.51000000,25250.00000000,22722.00000000,23554.85000000,2237983.72753000,2023-02-26 23:59:59,53750017281.89358780,73475940,1113473.63323000,26747071749.79538450,0
2023-02-27 00:00:00,23554.85000000,24000.00000000,21971.13000000,22430.24000000,1698503.29143000,2023-03-05 23:59:59,39224677036.71352140,55369117,844309.81084000,19500097493.71589510,0
2023-03-06 00:00:00,22430.24000000,22602.19000000,19549.09000000,21997.11000000,2718623.72856000,2023-03-12 23:59:59,57109899451.56409940,64620831,1355463.88360000,28476826765.34023100,0
2023-03-13 00:00:00,21998.05000000,28390.10000000,21813.88000000,27972.87000000,3775888.94983000,2023-03-19 23:59:59,95305973200.80874100,85715723,1901884.34275000,48013500988.60253510,0
2023-03-20 00:00:00,27972.87000000,28868.05000000,26601.80000000,27968.05000000,1437828.84706000,2023-03-26 23:59:59,40105785082.65465400,32723292,717790.29856000,20023774476.44784700,0
2023-03-27 00:00:00,27968.05000000,29184.68000000,26508.14000000,28171.87000000,500795.73087000,2023-04-02 23:59:59,13977682781.95106290,9943708,249671.68717000,6970335432.82718160,0
2023-04-03 00:00:00,28171.87000000,28775.00000000,27200.24000000,28323.76000000,306532.39014000,2023-04-09 23:59:59,8605878331.58955460,7007729,154082.38621000,4326447000.70928810,0
2023-04-10 00:00:00,28323.76000000,31000.00000000,28170.00000000,30304.65000000,377573.74044000,2023-04-16 23:59:59,11332769446.67125680,7871684,192813.26024000,5785142074.34189450,0
2023-04-17 00:00:00,30304.66000000,30485.00000000,27125.00000000,27590.60000000,430421.84646000,2023-04-23 23:59:59,12389863959.15446480,8610002,212327.63234000,6111056800.31741080,0
2023-04-24 00:00:00,27590.59000000,30036.00000000,26942.82000000,29233.21000000,444613.47701000,2023-04-30 23:59:59,12771602994.74798530,9248254,222195.37101000,6383410202.34269480,0
2023-05-01 00:00:00,29233.20000000,29820.00000000,27666.95000000,28430.10000000,360117.97447000,2023-05-07 23:59:59,10354875658.97800380,8366414,175604.66457000,5049605220.43347940,0
2023-05-08 00:00:00,28430.09000000,28631.01000000,25811.46000000,26917.62000000,338765.74243000,2023-05-14 23:59:59,9246865802.23881610,7982133,164889.34252000,4500215085.53712380,0
2023-05-15 00:00:00,26917.61000000,27663.59000000,26361.20000000,26747.78000000,230394.72253000,2023-05-21 23:59:59,6232670750.25042160,5632311,110813.79288000,2998025071.43860980,0
2023-05-22 00:00:00,26747.78000000,28261.32000000,25871.89000000,28065.00000000,251061.07389000,2023-05-28 23:59:59,6732832133.08176200,5214712,123084.11518000,3302073852.59865550,0
2023-05-29 00:00:00,28065.01000000,28447.14000000,26505.00000000,27115.21000000,233113.44204000,2023-06-04 23:59:59,6370610147.83786550,5056219,111371.92604000,3043127657.69884390,0
